SGD,Momentum,NAG,AdaGrad,RMSProp,Adam,NAdam
0.696617392,0.829013225,0.829402828,0.922830405,0.979380133,0.972285231,0.97922892
0.82834726,0.896372235,0.895909573,0.939145388,0.98776235,0.985283737,0.986674808
0.877340482,0.918815,0.918794082,0.945553704,0.985918976,0.986837913,0.987564797
0.897028605,0.932414666,0.932886618,0.951628954,0.987068931,0.984158184,0.988235259
0.909967355,0.941856445,0.942474685,0.954493453,0.989417662,0.988231282,0.990018592
0.920246577,0.949316515,0.949498875,0.957817255,0.989724152,0.990681969,0.986848496
0.928136529,0.953811195,0.954373793,0.959061929,0.986507835,0.988911243,0.990187395
0.93324919,0.958971185,0.959062955,0.961835348,0.990113891,0.98738977,0.98836875
0.937834879,0.961009472,0.961105974,0.96355846,0.98982059,0.989687144,0.989834032
0.94233595,0.962884329,0.963062254,0.964917891,0.989556511,0.990322708,0.990767183
